_date,total_clones,unique_clones
2020-11-17,1,1
2020-11-18,1,1
2020-11-20,2,1
2020-11-22,4,3
2020-11-23,5,3
2020-11-25,1,1
2020-11-27,4,1
2020-11-28,3,1
2020-11-29,5,2
2020-11-30,5,3
2020-12-01,1,1
2020-12-02,1,1
2020-12-06,1,1
2020-12-07,4,4
2020-12-11,3,1
2020-12-13,1,1
2020-12-14,4,4
2020-12-21,5,5
2020-12-25,1,1
2020-12-28,3,3
2021-01-04,4,4
2021-01-09,2,2
2021-01-11,4,4
2021-01-12,1,1
2021-01-13,16,11
2021-01-18,1,1
2021-01-21,1,1
2021-01-25,3,3
2021-01-28,3,2
2021-02-01,2,2
2021-02-07,1,1
2021-02-08,2,2
2021-02-14,1,1
2021-02-15,2,2
2021-02-21,1,1
2021-02-22,2,2
2021-02-28,1,1
2021-03-01,1,1
2021-03-04,1,1
2021-03-07,1,1
2021-03-08,1,1
2021-03-10,1,1
2021-03-13,1,1
2021-03-14,1,1
2021-03-15,2,2
2021-03-17,1,1
2021-03-18,1,1
2021-03-19,2,2
2021-03-21,3,3
2021-03-22,2,2
2021-03-28,1,1
2021-03-29,4,4
2021-03-31,1,1
2021-04-05,3,3
2021-04-06,1,1
2021-04-12,4,4
2021-04-14,1,1
2021-04-15,1,1
2021-04-18,1,1
2021-04-19,3,3
2021-04-20,1,1
2021-04-23,1,1
